transaction_id,imsi,subscriber_id,tac,snr,imei,cell,lac,event_type,event_ts
1,257865245,78663,18065935,567874,18065935567874,6226,75,5,2020-12-20 01:25:00
3,248622693,84988,31066209,199051,31066209199051,4755,33,9,2020-12-27 05:06:00
4,866701003,19661,61338362,724146,61338362724146,2814,48,2,2020-12-30 15:47:00
5,570476314,59360,32094161,834833,32094161834833,3944,24,,2020-12-12 10:04:00
6,314240287,78908,12335667,771826,12335667771826,5757,56,6,2020-12-11 09:49:00
7,305086458,41694,20751395,545290,20751395545290,1967,78,1,2020-12-27 19:57:00
9,856150031,52042,98591624,192001,98591624192001,1870,15,5,2020-12-25 03:32:00
10,419999500,67086,45077904,630108,45077904630108,2309,31,8,2020-12-29 13:34:00
12,349932947,87249,56872332,696514,56872332696514,4487,87,6,2020-12-08 07:22:00
13,889798900,52066,73574489,815827,73574489815827,2794,95,8,2020-12-01 19:25:00
14,303061908,28821,-99999,-99999,,6781,37,7,2020-12-11 16:30:00
15,748085639,27989,48921806,040508,48921806040508,1250,99,5,2020-12-31 12:59:00
16,248541071,33697,66564579,936064,66564579936064,5469,84,6,2020-12-31 18:32:00
17,336539526,21342,29651938,322281,29651938322281,9089,12,2,2020-12-18 01:05:00
18,968476578,80265,49084526,315007,49084526315007,1433,47,7,2020-12-07 21:12:00
19,806478272,28029,81747335,545519,81747335545519,3652,35,9,2020-12-17 07:32:00
20,865268815,19584,59610400,453192,59610400453192,3770,76,9,2020-12-27 18:59:00
21,919106573,62306,45733001,204328,45733001204328,7222,25,7,2020-12-12 13:34:00
23,835424796,12831,62162024,888469,62162024888469,7274,70,2,2020-12-30 17:47:00
24,222893094,14084,17771944,686777,17771944686777,1562,66,6,2020-12-01 22:41:00
25,461051324,74624,40606919,916129,40606919916129,7752,19,4,2020-12-03 16:15:00
26,720757084,21855,25013697,194348,25013697194348,8077,17,4,2020-12-08 06:46:00
27,236344683,99383,49328828,635988,49328828635988,6338,45,6,2020-12-29 09:22:00
28,784945175,50322,-99999,-99999,,9400,76,8,2020-12-02 14:52:00
29,119542887,70600,82869466,945041,82869466945041,1531,59,1,2020-12-14 19:51:00
30,849972555,42911,50727670,795124,50727670795124,9096,46,2,2020-12-13 04:35:00
31,792091065,77226,35019495,356999,35019495356999,8857,12,8,2020-12-31 00:52:00
32,402356311,37070,23473130,966260,23473130966260,7247,80,7,2020-12-06 21:21:00
33,808330913,54962,62498455,695850,62498455695850,7971,61,7,2020-12-07 15:34:00
34,921886125,29386,78819153,626644,78819153626644,4713,92,4,2020-12-09 03:00:00
36,159924061,31506,39237950,374243,39237950374243,8606,18,7,2020-12-18 22:05:00
37,514676156,43518,35997378,259192,35997378259192,6775,60,1,2020-12-31 19:49:00
38,566448012,51498,68076678,871904,68076678871904,1446,17,7,2020-12-14 11:16:00
39,567472375,14035,92654247,804621,92654247804621,9235,95,,2020-12-09 02:27:00
40,119413909,21923,28073361,766358,28073361766358,8864,37,8,2020-12-04 14:15:00
41,466712790,97474,91034415,284135,91034415284135,1631,80,1,2020-12-30 22:27:00
42,693147941,39161,78473299,727319,78473299727319,4372,91,1,2020-12-11 21:14:00
43,768815301,60210,23379379,047657,23379379047657,4594,26,2,2020-12-29 18:58:00
44,276929095,21839,72716034,970648,72716034970648,3682,57,6,2020-12-25 16:21:00
45,449614696,34691,44222125,317988,44222125317988,9239,71,4,2020-12-20 18:03:00
47,727686449,81580,55135179,592174,55135179592174,7214,46,2,2020-12-21 17:26:00
48,783703377,78722,54804787,586106,54804787586106,3375,12,8,2020-12-10 06:15:00
50,493189192,61368,56635785,123699,56635785123699,8494,92,4,2020-12-30 11:15:00
51,194592422,72723,24178634,182075,24178634182075,5274,14,8,2020-12-24 18:09:00
52,125049526,16818,71066023,486919,71066023486919,5283,11,2,2020-12-04 13:19:00
